head,relation,tail,Label,head_id,relation_id,tail_id,prompt,response,pred_relation,true_relation,verification
Sabrina Bryan,occupation,television actor,1,Q256708,P106,Q10798782,What is the relationship between 'Sabrina Bryan' and 'television actor'?,"1. Sabrina Bryan [cast member] television actor; 
2. Sabrina Bryan [occupation] television actor","['cast member', 'occupation']",occupation,"['False. Reason: Sabrina Bryan is a singer, actress, and dancer, known for being a member of the girl group The Cheetah Girls and her appearances on Dancing with the Stars, rather than a television actor.', 'False. Reason: Sabrina Bryan is primarily known for being a dancer and singer, not a television actor.']"
Léo Ferré,occupation,radio personality,1,Q320146,P106,Q2722764,What is the relationship between 'Léo Ferré' and 'radio personality'?,1. Léo Ferré [occupation] radio personality.,['occupation'],occupation,"['False. Reason: Léo Ferré was a French singer, songwriter, and poet, not a radio personality.']"
Solomon Islands,official language,English,1,Q685,P37,Q1860,What is the relationship between 'Solomon Islands' and 'English'?,"1. Solomon Islands [official language] English
2. Solomon Islands [languages spoken, written, or signed] English
3. Solomon Islands [country] English","['official language', 'languages spoken, written, or signed', 'country']",official language,"['True. Reason: English is one of the official languages of the Solomon Islands according to common knowledge.', 'True. Reason: English is one of the official languages of the Solomon Islands and is widely spoken, written, and understood throughout the country.', 'True. Reason: The official language of Solomon Islands is English, so the relationship ""Solomon Islands is a country where English is spoken"" is true.']"
Milva,genre,progressive rock,0,Q241835,P136,Q49451,What is the relationship between 'Milva' and 'progressive rock'?,1. Milva [genre] progressive rock.,['genre'],relationship is ambiguous,"['False. Reason: Milva is an Italian singer known for her work in genres such as pop, folk, and chanson, but not progressive rock.']"
United Arab Emirates,continent,Europe,0,Q878,P30,Q46,What is the relationship between 'United Arab Emirates' and 'Europe'?,"1. United Arab Emirates [continent] Europe; 
2. United Arab Emirates [diplomatic relation] Europe; 
3. United Arab Emirates [trade partner] Europe; 
4. United Arab Emirates [tourist destination] Europe; 
5. United Arab Emirates [investment destination] Europe","['continent', 'diplomatic relation', 'trade partner', 'tourist destination', 'investment destination']",relationship is ambiguous,"['False. Reason: The United Arab Emirates is located in Asia, not Europe.', 'False. Reason: The United Arab Emirates is a country located in the Middle East, not in Europe. Therefore, it is not possible for the United Arab Emirates to have a diplomatic relation with Europe as a continent.', 'False. Reason: The United Arab Emirates is a country located in the Middle East, not in Europe. While it is possible for the United Arab Emirates to have trade partnerships with European countries, as a whole, it is not accurate to say that the United Arab Emirates is a trade partner of Europe.', 'False. Reason: United Arab Emirates is not located in Europe, so it is not accurate to say that it is a tourist destination in Europe.', 'False. Reason: The United Arab Emirates is not a part of Europe, therefore it is unlikely to be considered an investment destination specifically for Europe.']"
Hungary,official language,Russian,0,Q28,P37,Q7737,What is the relationship between 'Hungary' and 'Russian'?,"1. Hungary [border with] Russia;
2. Hungary [country] Russia;
3. Hungary [diplomatic relation] Russia;
4. Hungary [neighbor] Russia;
5. Hungary [trade partner] Russia;
6. Hungary [shared history] Russia;
7. Hungary [part of] Soviet Union;
8. Hungary [influenced by] Russian culture;
9. Hungary [language spoken] Russian.","['border with', 'country', 'diplomatic relation', 'neighbor', 'trade partner', 'shared history', 'part of', 'influenced by', 'language spoken']",relationship is ambiguous,"['False. Reason: Hungary does not share a border with Russia. Russia is located to the northeast of Hungary, with several countries in between such as Ukraine, Belarus, and Poland.', 'False. Reason: Hungary and Russia are both independent countries and are not related as a parent-child or geographic relationship, so the relationship between them as ""country"" would not be accurate.', 'False. Reason: Countries typically have diplomatic relations with each other, not individual people. In this case, it should be ""Hungary has diplomatic relations with Russia.""', 'False. Reason: Hungary is not a neighbor of Russia in reality. They do not share a border with each other.', 'False. Reason: Hungary is not geographically close to Russia, so it is less likely to be a major trade partner with Russia compared to other countries that are geographically closer.', 'False. Reason: Hungary and Russia do not have a significant shared history that would be commonly known or widely recognized.', 'False. Reason: Hungary is not part of Russia. Both countries are separate sovereign nations located in Eastern Europe.', 'False. Reason: Hungary was not influenced by Russia according to historical and geopolitical knowledge. The two countries have had their own distinct histories and influences.', 'False. Reason: Russian is not one of the official languages spoken in Hungary. The official language of Hungary is Hungarian.']"
Nick Cave,genre,country music,1,Q192668,P136,Q83440,What is the relationship between 'Nick Cave' and 'country music'?,1. Nick Cave [genre] country music.,['genre'],genre,"['False. Reason: Nick Cave is primarily known for his work in the genres of post-punk, alternative rock, and experimental music, not country music.']"
Walt Disney,medical condition,lung cancer,1,Q8704,P1050,Q47912,What is the relationship between 'Walt Disney' and 'lung cancer'?,1. Walt Disney [cause of death] lung cancer; 2. Walt Disney [medical condition] lung cancer,"['cause of death', 'medical condition']",medical condition,"['True. Reason: Walt Disney passed away due to lung cancer, so the relationship between Walt Disney and lung cancer as the cause of death is true based on historical records.', 'True. Reason: Walt Disney died of lung cancer in 1966.']"
Ingrid Michaelson,occupation,lyricist,1,Q242873,P106,Q822146,What is the relationship between 'Ingrid Michaelson' and 'lyricist'?,"1. Ingrid Michaelson [occupation] lyricist; 
2. Ingrid Michaelson [influenced by] lyricist; 
3. Ingrid Michaelson [genre] lyricist;","['occupation', 'influenced by', 'genre']",occupation,"['True. Reason: Ingrid Michaelson is a singer-songwriter, and part of her occupation involves writing lyrics for her songs. Therefore, it is common for a singer-songwriter like Ingrid Michaelson to also be a lyricist.', 'False. Reason: Ingrid Michaelson is a singer-songwriter and not specifically known for being influenced by lyricists.', 'False. Reason: A genre is a category of music that defines the style of music, whereas a lyricist is a person who writes the words (lyrics) of a song. Ingrid Michaelson is known as a singer-songwriter, not just a lyricist, as she not only writes lyrics but also composes music and performs her songs.']"
Antonin Artaud,occupation,film actor,1,Q187166,P106,Q10800557,What is the relationship between 'Antonin Artaud' and 'film actor'?,"1. Antonin Artaud [influenced by] film actor; 
2. Antonin Artaud [cast member] film actor; 
3. Antonin Artaud [occupation] film actor.","['influenced by', 'cast member', 'occupation']",occupation,"['False. Reason: Antonin Artaud was a French playwright, poet, and theatre director known for his work in the theatre and as a theorist of surrealism. He was not influenced by a film actor as per his field of work and expertise.', 'False. Reason: Antonin Artaud was a French playwright, poet, actor, and theatre director known for his avant-garde work in theater. While he was involved in the arts, he was not a film actor.', 'False. Reason: Antonin Artaud was a playwright, poet, and actor known for his work in theater and writing, not specifically for being a film actor.']"
Lily Allen,country of citizenship,Austria,0,Q58735,P27,Q40,What is the relationship between 'Lily Allen' and 'Austria'?,"1. Lily Allen [residence] Austria; 
2. Lily Allen [performed in] Austria; 
3. Lily Allen [visited] Austria; 
4. Lily Allen [held a concert in] Austria; 
5. Lily Allen [had a music tour in] Austria.","['residence', 'performed in', 'visited', 'held a concert in', 'had a music tour in']",relationship is ambiguous,"['False. Reason: Lily Allen is a British singer and songwriter who is known to reside in the United Kingdom and not in Austria.', 'False. Reason: Lily Allen is a British singer and Austria is a country. There is no direct relationship between Lily Allen and performing in Austria based on common sense.', 'False. Reason: Lily Allen is a British singer and Austria is a country. It is unlikely that Lily Allen visited Austria, as there is no known connection between her and the country based on common knowledge.', 'False. Reason: Lily Allen is a British singer and Austria is a country located in Europe. It is not common for a British singer to hold a concert in Austria unless specifically mentioned in the context.', 'False. Reason: Lily Allen did not have a music tour in Austria.']"
Vladimir Obruchev,occupation,university teacher,1,Q359568,P106,Q1622272,What is the relationship between 'Vladimir Obruchev' and 'university teacher'?,1. Vladimir Obruchev [occupation] university teacher.,['occupation'],occupation,"['False. Reason: Vladimir Obruchev was a Russian geologist, paleontologist, and explorer, known for his scientific contributions in the field of geology and paleontology, rather than being primarily a university teacher.']"
